Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,Percent Change between 2010 and 2011,Rank,"Number of occurrences per 10,000 residents in 2011",
27,York University Heights,,34,30,25,29,30,26,22,16,-27.3%,20,5.8,
28,Rustic,,2,2,0,2,1,0,1,5,400.%,26,5,
29,Maple Leaf,,1,1,4,0,3,3,2,0,-100%,137,0,
30,Brookhaven-Amesbury,,6,4,6,4,4,6,2,6,200%,57,3.4,
31,Yorkdale-Glen Park,,22,26,16,17,19,15,18,14,-22.2%,5,9.5,
32,Englemount-Lawrence,,8,9,7,7,7,5,10,5,-50%,86,2.3,
33,Clanton Park,,14,7,1,11,9,4,8,10,25.%,14,6.8,
34,Bathurst Manor,,3,7,2,13,4,6,3,5,66.70%,61,3.2,
35,Westminster-Branson,,9,9,1,12,7,4,10,7,-30%,74,2.8,
36,Newtonbrook West,,5,6,11,15,11,8,11,8,-27.3%,53,3.5,
37,Willowdale West,,3,5,2,4,2,1,0,4,N/A,76,2.7,
38,Lansing-Westgate,,9,7,1,11,5,7,5,4,-20%,75,2.7,
39,Bedford Park-Nortown,,18,18,14,14,11,11,6,18,200.%,10,7.7,
40,St.Andrew-Windfields,,12,15,4,14,14,15,8,7,-12.5%,41,3.9,
41,Bridle Path-Sunnybrook-York Mills,,6,5,2,6,2,6,6,4,-33.3%,30,4.6,
42,Banbury-Don Mills,,9,9,15,10,7,10,9,23,155.6%,8,8.6,
43,Victoria Village,,8,17,7,2,5,13,6,9,-50.%,23,5.2,
44,Flemingdon Park,,7,6,5,5,3,5,1,30,"2,900.%",4,13.5,
45,Parkwoods-Donalda,,15,4,4,7,5,9,8,4,-50.%,119,1.2,
46,Pleasant View,,3,2,3,2,2,1,1,3,200.%,98,1.9,
47,Don Valley Village,,14,10,6,13,8,11,11,10,-9.1%,46,3.7,
48,Hillcrest Village,,3,8,2,5,10,8,5,6,20%,55,3.4,
49,Bayview Woods-Steeles,,2,6,6,3,3,3,2,1,-50%,129,0.7,
50,Newtonbrook East,,1,1,0,4,7,6,2,3,50%,100,1.8,
51,Willowdale East,,13,15,19,12,5,12,6,10,66.7%,88,2.2,
52,Bayview Village,,14,5,5,7,2,6,5,6,20.%,54,3.4,
53,Henry Farm,,8,3,6,7,5,2,0,2,N/A,103,1.8,
54,O'Connor-Parkview,,9,6,5,6,3,11,4,7,75%,42,3.8,
55,Thorncliffe Park,,8,8,7,4,2,7,10,4,-60%,94,2.1,
56,Leaside-Bennington,,13,7,9,3,1,11,7,8,14.3%,28,4.7,
57,Broadview North,,4,4,3,2,3,2,4,3,-25%,80,2.6,
58,Old East York,,2,2,0,3,1,5,1,4,300.%,34,4.4,
59,Danforth Village - East York,,6,8,7,8,3,1,16,2,-88%,117,1.2,
60,Woodbine-Lumsden,,0,0,1,3,1,2,1,2,100.%,81,2.6,
61,Crescent Town,,8,4,7,6,4,5,2,7,250.%,32,4.5,
62,East End-Danforth,,11,9,7,5,7,3,5,4,-20%,97,1.9,
63,The Beaches,,16,11,16,12,10,5,4,7,75.%,60,3.3,
64,Woodbine Corridor,,7,6,2,1,4,4,5,1,-80%,127,0.9,
65,Greenwood-Coxwell,,8,5,11,6,2,10,4,2,-50.%,109,1.4,
66,Danforth Village - Toronto,,8,4,5,6,2,5,6,3,-50%,64,3.2,
67,Playter Estates-Danforth,,3,1,2,2,2,1,4,4,0%,22,5.2,
68,North Riverdale,,7,10,4,4,4,4,0,0,N/A,138,0,
69,Blake-Jones,,3,8,4,2,1,3,3,1,-66.70%,113,1.3,
70,South Riverdale,,18,23,26,19,12,10,12,9,-25.%,52,3.5,
71,Cabbagetown-South St.James Town,,3,7,6,8,4,4,6,0,-100%,139,0,
72,Regent Park,,0,3,1,1,3,2,0,1,N/A,122,1,
73,Moss Park,,8,13,10,10,10,12,9,5,-44.40%,66,3.1,
74,North St.James Town,,4,8,5,5,7,4,10,16,60%,6,9,
75,Church-Yonge Corridor,,31,23,22,27,21,22,25,13,-48.%,31,4.6,
76,Bay Street Corridor,,60,53,44,35,29,37,31,29,-6.50%,3,15,
77,Waterfront Communities-The Island,,43,0,49,38,33,33,20,17,-15%,40,3.9,
78,Kensington-Chinatown,,20,21,14,22,16,13,14,14,0%,11,7.6,
79,University,,9,11,12,8,3,5,5,1,-80.%,112,1.3,
80,Palmerston-Little Italy,,2,8,6,8,3,4,4,4,0%,70,2.9,
81,Trinity-Bellwoods,,8,5,3,3,3,4,4,2,-50%,118,1.2,
82,Niagara,,16,11,12,8,14,10,11,8,-27.3%,44,3.8,
83,Dufferin Grove,,10,6,8,1,8,7,6,10,66.7%,7,8.7,
84,Little Portugal,,6,4,2,5,2,3,8,7,-12.5%,19,5.8,
85,South Parkdale,,9,8,8,5,7,7,2,9,350.%,37,4.2,
86,Roncesvalles,,4,4,8,3,5,4,4,4,0%,77,2.7,
87,High Park-Swansea,,5,7,9,2,5,4,3,2,-33.3%,126,0.9,
88,High Park North,,3,5,6,3,0,4,7,1,-85.70%,134,0.5,
89,Runnymede-Bloor West Village,,8,5,1,2,1,7,4,5,25%,24,5.2,
90,Junction Area,,11,6,4,2,2,7,13,3,-76.90%,90,2.1,
91,Weston-Pellam Park,,6,2,3,5,4,4,2,7,250.%,18,5.8,
92,Corsa Italia-Davenport,,4,5,3,4,7,0,7,2,-71.40%,108,1.5,
93,Dovercourt-Wallace Emerson-Juncti,,13,10,11,9,6,6,12,8,-33.3%,84,2.3,
94,Wychwood,,4,1,2,4,5,4,7,5,-28.60%,51,3.6,
95,Annex,,24,31,22,28,24,25,18,20,11.1%,13,6.9,
96,Casa Loma,,8,6,5,4,8,8,7,4,-42.90%,43,3.8,
97,Yonge-St.Clair,,12,3,6,6,0,10,3,6,100.%,25,5.1,
98,Rosedale-Moore Park,,18,20,15,13,10,17,9,9,0,36,4.4,
99,Mount Pleasant East,,3,6,7,2,7,5,9,5,-44.40%,65,3.1,
100,Yonge-Eglinton,,7,8,2,2,3,7,3,1,-66.70%,124,0.9,
101,Forest Hill South,,8,6,7,6,8,6,4,7,75%,15,6.4,
102,Forest Hill North,,2,8,4,6,12,5,3,4,33.30%,63,3.2,
103,Lawrence Park South,,11,4,3,8,7,6,3,4,33.30%,79,2.7,
104,Mount Pleasant West,,8,9,13,9,4,9,4,2,-50%,130,0.7,
105,Lawrence Park North,,2,4,6,5,3,1,7,6,33.3%,38,4.1,
106,Humewood-Cedarvale,,1,2,4,1,5,2,1,4,300%,73,2.8,
107,Oakwood-Vaughan,,4,3,3,3,3,5,5,1,-80%,133,0.5,
108,Briar Hill-Belgravia,,4,8,5,4,3,5,4,3,-25%,92,2.1,
109,Caledonia-Fairbanks,,2,4,2,4,1,1,3,1,-66.70%,121,1,
110,Keelesdale-Eglinton West,,6,3,3,2,1,0,1,1,0%,125,0.9,
111,Rockcliffe-Smythe,,9,3,9,6,3,5,4,5,25%,87,2.2,
112,Beechborough-Greenbrook,,2,1,1,3,0,5,0,4,N/A,16,6.2,
113,Weston,,10,9,2,3,2,3,7,8,14.3%,33,4.4,
114,Lambton Baby Point,,1,9,0,0,1,1,1,1,0%,115,1.3,
115,Mount Dennis,,2,2,0,4,0,3,4,2,-50%,107,1.5,
116,Steeles,,7,9,3,3,7,1,1,4,300.%,104,1.6,
117,L'Amoreaux,,6,5,3,2,5,1,2,7,250.%,105,1.6,
118,Tam O'Shanter-Sullivan,,11,4,6,5,7,5,5,5,0%,99,1.8,
119,Wexford/Maryvale,,14,14,25,12,13,14,10,8,-20.%,69,3,
120,Clairlea-Birchmount,,19,13,13,14,8,3,10,8,-20.%,62,3.2,
121,Oakridge,,6,4,1,0,3,5,1,4,300.%,68,3,
122,Birchcliffe-Cliffside,,4,7,3,5,5,3,6,9,50%,39,4.1,
123,Cliffcrest,,13,6,7,4,5,2,1,4,300.%,82,2.5,
124,Kennedy Park,,3,2,4,7,3,3,1,8,700.%,29,4.7,
125,Ionview,,3,2,1,1,4,7,2,0,-100.%,140,0,
126,Dorset Park,,19,13,14,13,12,11,12,7,-41.7%,71,2.9,
127,Bendale,,8,15,19,12,10,4,13,10,-23.1%,50,3.6,
128,Agincourt South-Malvern West,,12,6,6,13,7,10,7,5,-28.60%,85,2.3,
129,Agincourt North,,5,4,3,3,12,1,3,4,33.30%,110,1.3,
130,Milliken,,7,12,8,6,9,12,10,15,50.%,21,5.5,
131,Rouge,,20,10,15,12,12,8,9,14,55.6%,67,3,
132,Malvern,,18,6,6,13,5,13,10,3,-70.%,131,0.7,
133,Centennial Scarborough,,1,4,2,1,6,0,2,2,.%,106,1.5,
134,Highland Creek,,4,0,4,2,3,5,1,1,0%,128,0.8,
135,Morningside,,3,5,3,7,6,7,4,1,-75%,132,0.6,
136,West Hill,,9,6,2,10,10,6,8,3,-62.5%,120,1.1,
137,Woburn,,17,19,9,11,14,11,9,7,-22.2%,111,1.3,
138,Eglinton East,,4,5,5,2,7,5,5,10,100%,35,4.4,
139,Scarborough Village,,8,2,4,6,8,3,2,3,50%,102,1.8,
140,Guildwood,,2,2,1,1,2,0,1,2,100%,95,2,
