Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011
27,York University Heights,,35,46,45,48,55,46,40,49,22.50%,18,17.7
28,Rustic,,11,15,11,14,10,8,22,14,-36.40%,28,14.1
29,Maple Leaf,,3,9,6,5,12,14,3,10,233.30%,57,9.8
30,Brookhaven-Amesbury,,30,30,13,17,38,11,16,52,225.00%,1,29.3
31,Yorkdale-Glen Park,,23,19,24,13,10,19,17,11,-35.30%,77,7.5
32,Englemount-Lawrence,,12,26,7,15,18,12,17,19,11.80%,67,8.6
33,Clanton Park,,4,11,22,13,22,24,17,12,29.40%,71,8.2
34,Bathurst Manor,,10,7,13,2,9,18,11,8,-27.30%,105,5.2
35,Westminster-Branson,,8,12,9,12,22,12,12,14,16.70%,100,5.5
36,Newtonbrook West,,17,18,16,28,18,10,18,17,-5.60%,79,7.4
37,Willowdale West,,4,5,6,8,10,8,19,9,-52.60%,95,6
38,Lansing-Westgate,,7,4,4,7,9,5,15,19,26.70%,35,13
39,Bedford Park-Nortown,,14,5,5,3,9,10,7,4,-42.90%,134,1.7
40,St.Andrew-Windfields,,4,12,3,8,4,9,3,10,233.30%,99,5.6
41,Bridle Path-Sunnybrook-York Mills,,1,1,2,3,5,0,7,10,42.90%,46,11.5
42,Banbury-Don Mills,,8,7,10,19,13,7,17,17,0,93,6.3
43,Victoria Village,,9,11,12,14,14,9,5,6,20.00%,116,3.5
44,Flemingdon Park,,17,16,15,22,24,12,11,23,109.10%,52,10.4
45,Parkwoods-Donalda,,16,12,17,24,24,22,31,10,-67.70%,123,2.9
46,Pleasant View,,14,18,10,3,10,4,2,9,350.00%,98,5.6
47,Don Valley Village,,26,21,17,13,8,19,5,18,260.00%,86,6.7
48,Hillcrest Village,,6,7,10,9,12,27,16,13,-18.80%,81,7.4
49,Bayview Woods-Steeles,,2,2,3,7,1,3,5,10,100.00%,80,7.4
50,Newtonbrook East,,5,8,7,3,6,6,8,10,25.00%,94,6.1
51,Willowdale East,,13,14,17,26,9,20,19,23,21.10%,106,5.1
52,Bayview Village,,0,1,11,4,10,2,2,3,50.00%,135,1.7
53,Henry Farm,,5,2,2,3,2,3,0,5,N/A,109,4.4
54,O'Connor-Parkview,,22,18,11,12,12,21,36,21,-41.70%,47,11.4
55,Thorncliffe Park,,1,36,13,5,3,10,16,8,2.60%,111,4.2
56,Leaside-Bennington,,1,6,4,3,3,5,11,6,-45.50%,115,3.5
57,Broadview North,,15,24,11,5,9,10,5,15,200.00%,36,13
58,Old East York,,6,5,3,16,5,10,3,3,0,119,3.3
59,Danforth Village - East York,,9,9,7,6,5,9,5,4,-20.00%,129,2.4
60,Woodbine-Lumsden,,6,7,34,6,2,6,4,6,50.00%,75,7.7
61,Crescent Town,,7,13,16,21,22,11,12,19,58.30%,41,12.2
62,East End-Danforth,,13,40,23,14,11,28,21,15,-28.60%,83,7.2
63,The Beaches,,13,18,28,8,3,7,13,14,7.70%,89,6.6
64,Woodbine Corridor,,25,18,15,5,15,21,7,11,57.10%,62,9.4
65,Greenwood-Coxwell,,9,32,17,29,17,16,15,18,20.00%,37,12.8
66,Danforth Village - Toronto,,11,17,12,12,5,7,12,12,.%,38,12.7
67,Playter Estates-Danforth,,26,3,5,6,6,5,10,9,-10.00%,44,11.8
68,North Riverdale,,9,7,5,9,13,7,11,19,72.70%,24,15.6
69,Blake-Jones,,10,20,25,17,11,8,7,12,71.40%,25,15.5
70,South Riverdale,,62,48,26,19,58,23,18,21,16.70%,74,8.2
71,Cabbagetown-South St.James Town,,7,5,11,15,4,22,15,10,-33.30%,70,8.3
72,Regent Park,,12,30,7,10,20,15,9,13,44.40%,34,13
73,Moss Park,,32,27,34,43,39,41,25,36,44.00%,7,22.1
74,North St.James Town,,20,10,20,21,13,23,9,9,0,107,5.1
75,Church-Yonge Corridor,,42,39,26,58,40,47,58,60,3.40%,11,21.2
76,Bay Street Corridor,,35,51,37,34,37,49,38,47,23.70%,3,24.3
77,Waterfront Communities-The Island,,42,59,66,55,48,43,45,41,-8.90%,61,9.5
78,Kensington-Chinatown,,18,11,19,17,30,28,25,25,0,30,13.5
79,University,,13,11,10,14,16,10,8,21,162.50%,2,27.1
80,Palmerston-Little Italy,,10,14,8,11,13,13,10,18,80.00%,31,13.1
81,Trinity-Bellwoods,,13,17,12,11,14,9,15,19,26.70%,48,11.3
82,Niagara,,8,13,11,22,24,10,15,25,66.70%,43,11.9
83,Dufferin Grove,,15,12,12,19,10,18,15,19,26.70%,20,16.6
84,Little Portugal,,17,6,10,11,44,9,12,12,0,56,9.9
85,South Parkdale,,34,28,15,24,32,23,34,16,-52.90%,76,7.5
86,Roncesvalles,,17,16,13,12,11,14,20,13,-35.00%,66,8.6
87,High Park-Swansea,,18,14,10,7,12,13,8,6,-25.00%,126,2.8
88,High Park North,,7,11,6,12,8,6,19,8,-57.90%,113,3.8
89,Runnymede-Bloor West Village,,7,3,14,6,10,2,6,3,-50.00%,121,3.1
90,Junction Area,,10,8,16,9,4,14,8,14,75.00%,55,10
91,Weston-Pellam Park,,13,23,11,4,8,11,11,26,136.40%,9,21.6
92,Corsa Italia-Davenport,,31,11,15,16,30,10,14,15,7.10%,51,10.9
93,Dovercourt-Wallace Emerson-Juncti,,50,47,52,48,29,34,31,55,77.40%,22,15.9
94,Wychwood,,17,9,7,8,11,21,16,13,-18.80%,63,9.3
95,Annex,,30,17,28,33,28,33,30,46,53.30%,23,15.8
96,Casa Loma,,11,4,5,3,12,5,11,2,-81.80%,131,1.9
97,Yonge-St.Clair,,2,2,2,5,5,1,3,5,66.70%,110,4.3
98,Rosedale-Moore Park,,11,8,9,2,7,7,8,12,50.00%,96,5.8
99,Mount Pleasant East,,12,0,4,5,6,8,1,5,400.00%,120,3.1
100,Yonge-Eglinton,,11,4,5,6,11,6,7,9,28.60%,68,8.5
101,Forest Hill South,,16,4,2,17,7,1,9,1,-88.90%,139,0.9
102,Forest Hill North,,0,3,1,3,3,6,3,14,366.70%,49,11.2
103,Lawrence Park South,,3,8,4,4,0,4,1,5,400.00%,118,3.3
104,Mount Pleasant West,,11,11,13,16,9,20,15,19,26.70%,87,6.6
105,Lawrence Park North,,4,9,7,5,2,1,6,4,-33.30%,127,2.8
106,Humewood-Cedarvale,,8,5,12,5,2,2,6,5,-16.70%,114,3.5
107,Oakwood-Vaughan,,37,38,23,23,23,33,29,14,-51.70%,88,6.6
108,Briar Hill-Belgravia,,10,16,15,15,17,3,13,17,30.80%,42,11.9
109,Caledonia-Fairbanks,,13,8,5,6,10,6,7,17,142.90%,19,17.3
110,Keelesdale-Eglinton West,,49,16,6,10,17,13,15,15,0%,29,14.1
111,Rockcliffe-Smythe,,11,25,16,16,25,37,23,29,26.10%,33,13
112,Beechborough-Greenbrook,,10,10,3,14,7,7,8,12,50.00%,17,18.5
113,Weston,,20,17,32,23,21,17,21,35,66.70%,14,19.3
114,Lambton Baby Point,,6,2,0,8,8,5,2,2,.%,128,2.5
115,Mount Dennis,,16,25,26,15,18,19,28,16,-42.90%,40,12.2
116,Steeles,,4,7,13,6,2,8,7,7,.%,125,2.8
117,L'Amoreaux,,30,19,29,21,9,13,11,8,-27.30%,133,1.8
118,Tam O'Shanter-Sullivan,,16,3,9,10,10,9,13,18,38.50%,90,6.6
119,Wexford/Maryvale,,28,21,23,11,29,19,17,23,35.30%,69,8.5
120,Clairlea-Birchmount,,17,22,32,18,12,15,23,24,4.30%,59,9.7
121,Oakridge,,10,25,17,14,12,13,33,13,-60.60%,60,9.6
122,Birchcliffe-Cliffside,,25,23,25,23,21,22,14,4,-71.40%,132,1.8
123,Cliffcrest,,20,11,15,11,11,15,16,14,-12.50%,65,8.9
124,Kennedy Park,,16,29,25,11,18,30,15,20,33.30%,45,11.7
125,Ionview,,11,19,12,5,2,12,15,17,13.30%,32,13
126,Dorset Park,,19,11,13,10,21,17,33,20,-39.40%,73,8.2
127,Bendale,,13,48,23,26,26,28,21,25,19.00%,64,9
128,Agincourt South-Malvern West,,14,13,15,6,14,8,10,24,140.00%,50,10.9
129,Agincourt North,,6,1,5,16,5,12,17,6,-64.70%,130,2
130,Milliken,,4,8,12,7,13,13,11,3,-72.70%,136,1.1
131,Rouge,,20,18,20,11,27,23,29,30,3.40%,91,6.5
132,Malvern,,43,39,39,28,48,81,45,37,-17.80%,72,8.2
133,Centennial Scarborough,,15,8,5,7,7,10,10,4,-60.00%,122,3.1
134,Highland Creek,,3,3,9,12,12,7,14,9,-35.70%,85,6.9
135,Morningside,,17,21,17,26,21,22,34,27,-20.60%,26,15.4
136,West Hill,,47,46,48,51,56,33,49,52,6.10%,13,19.6
137,Woburn,,35,52,48,56,20,41,30,29,-3.30%,102,5.4
138,Eglinton East,,21,29,34,14,9,35,23,17,-26.10%,78,7.4
139,Scarborough Village,,17,11,17,23,13,21,22,31,40.90%,16,18.7
140,Guildwood,,5,15,7,11,2,6,4,7,75.00%,84,7.2
