Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011,
52,Bayview Village,,18,21,24,8,6,14,15,16,9.1,112,6.70%,
53,Henry Farm,,8,20,14,19,18,14,11,10,8.8,115,-9.10%,
54,O'Connor-Parkview,,7,11,35,26,13,10,20,25,13.6,88,25.00%,
55,Thorncliffe Park,,35,27,15,22,42,26,24,17,8.8,116,-29.20%,
56,Leaside-Bennington,,8,20,23,14,22,33,20,32,18.9,52,-29.20%,
57,Broadview North,,12,20,23,23,9,13,4,9,7.8,121,60.00%,
58,Old East York,,8,8,12,5,7,5,5,11,12.1,101,120.00%,
59,Danforth Village - East York,,17,25,18,21,12,11,15,5,3,138,-66.70%,
60,Woodbine-Lumsden,,20,13,13,6,4,10,7,10,12.8,94,42.90%,
61,Crescent Town,,30,37,40,24,42,33,41,28,17.9,61,-31.70%,
62,East End-Danforth,,56,47,71,44,42,50,47,39,18.7,53,-17.00%,
63,The Beaches,,21,16,22,21,19,30,28,11,5.2,132,-60.70%,
64,Woodbine Corridor,,7,17,16,21,15,17,6,13,11.1,104,116.70%,
65,Greenwood-Coxwell,,29,32,33,33,31,40,31,42,29.9,23,35.50%,
66,Danforth Village - Toronto,,56,42,60,50,37,43,36,29,30.7,22,-19.40%,
67,Playter Estates-Danforth,,13,17,14,17,10,19,18,18,23.5,37,0.00%,
68,North Riverdale,,30,36,15,20,21,41,29,40,32.9,19,37.90%,
69,Blake-Jones,,18,26,22,27,11,19,17,16,20.6,45,-5.90%,
70,South Riverdale,,93,94,78,90,69,65,57,47,18.3,56,-17.50%,
71,Cabbagetown-South St.James Town,,44,49,31,39,27,43,24,32,26.5,29,33.30%,
72,Regent Park,,60,61,56,37,24,25,14,18,18,60,28.60%,
73,Moss Park,,74,93,95,105,106,89,92,64,39.3,6,-30.40%,
74,North St.James Town,,30,46,27,57,35,38,45,28,15.7,70,-37.80%,
75,Church-Yonge Corridor,,144,113,100,117,136,94,106,124,43.7,4,17.00%,
76,Bay Street Corridor,,120,100,105,89,119,112,74,124,64,1,67.60%,
77,Waterfront Communities-The Island,,61,58,67,63,70,67,65,94,21.7,44,44.60%,
78,Kensington-Chinatown,,113,82,123,100,87,62,69,68,36.8,11,-1.40%,
79,University,,28,34,33,33,38,46,14,30,38.7,7,114.30%,
80,Palmerston-Little Italy,,23,25,26,32,29,31,34,18,13.1,92,-47.10%,
81,Trinity-Bellwoods,,26,33,28,30,38,35,34,23,13.7,87,-32.40%,
82,Niagara,,13,13,21,21,15,20,11,16,7.6,122,45.50%,
83,Dufferin Grove,,38,32,44,30,54,29,32,42,36.6,12,31.30%,
84,Little Portugal,,17,17,23,9,10,7,10,16,13.2,91,60.00%,
85,South Parkdale,,43,39,35,63,33,20,35,42,19.8,49,20.00%,
86,Roncesvalles,,45,28,35,38,38,25,26,18,12,102,-30.80%,
87,High Park-Swansea,,18,17,15,17,21,21,14,17,7.8,120,21.40%,
88,High Park North,,32,28,44,52,32,28,46,26,12.2,99,-43.50%,
89,Runnymede-Bloor West Village,,16,18,22,20,27,23,22,17,17.6,65,-22.70%,
90,Junction Area,,25,25,37,31,33,30,20,15,10.7,106,-25.00%,
91,Weston-Pellam Park,,18,30,34,20,32,29,17,17,14.1,84,0.00%,
92,Corsa Italia-Davenport,,33,22,40,52,36,18,31,31,22.5,40,0.00%,
93,Dovercourt-Wallace Emerson-Juncti,,77,87,95,61,71,66,62,53,15.3,72,-14.50%,
94,Wychwood,,20,25,28,28,24,14,20,23,16.4,69,15.00%,
95,Annex,,56,47,63,70,58,50,60,38,13,93,-36.70%,
96,Casa Loma,,4,9,16,6,11,3,7,4,3.8,133,-42.90%,
97,Yonge-St.Clair,,1,4,5,4,5,8,1,3,2.6,140,200.00%,
98,Rosedale-Moore Park,,32,28,31,25,18,17,10,20,9.7,111,100.00%,
99,Mount Pleasant East,,7,10,15,14,21,13,10,6,3.8,134,-40.00%,
100,Yonge-Eglinton,,21,15,14,22,26,19,17,33,31.2,21,94.10%,
101,Forest Hill South,,6,6,11,14,6,14,4,4,3.7,137,0.00%,
102,Forest Hill North,,7,11,13,28,17,17,12,22,17.6,66,83.30%,
103,Lawrence Park South,,16,10,15,10,9,10,10,9,6,130,75.00%,
104,Mount Pleasant West,,34,16,27,21,30,25,20,35,12.2,98,75.00%,
105,Lawrence Park North,,18,29,17,5,14,14,10,13,8.9,114,30.00%,
106,Humewood-Cedarvale,,9,13,13,13,8,7,7,4,2.8,139,-42.90%,
107,Oakwood-Vaughan,,19,28,29,43,35,42,27,18,8.5,117,-33.30%,
108,Briar Hill-Belgravia,,28,27,27,24,26,17,15,25,17.5,67,66.70%,
109,Caledonia-Fairbanks,,16,7,13,16,15,16,20,6,6.1,128,-70.00%,
110,Keelesdale-Eglinton West,,48,23,34,76,31,33,25,39,36.6,13,56%,
111,Rockcliffe-Smythe,,50,51,41,33,31,28,35,31,13.9,85,-11.40%,
112,Beechborough-Greenbrook,,23,11,23,22,19,25,12,19,29.3,25,58.30%,
113,Weston,,62,56,45,41,43,58,57,66,36.3,14,15.80%,
114,Lambton Baby Point,,3,2,2,2,5,9,5,12,15.2,76,140.00%,
115,Mount Dennis,,30,41,29,26,25,30,27,33,25.1,32,22.20%,
116,Steeles,,46,42,39,32,45,70,44,26,10.4,108,-40.90%,
117,L'Amoreaux,,92,90,74,59,84,85,65,67,14.9,78,3.10%,
118,Tam O'Shanter-Sullivan,,46,52,45,44,56,46,49,37,13.5,89,-24.50%,
119,Wexford/Maryvale,,41,43,59,53,51,42,44,49,18.1,57,11.40%,
120,Clairlea-Birchmount,,44,41,51,51,37,31,42,44,17.8,64,4.80%,
121,Oakridge,,78,49,56,39,63,54,29,30,22.2,42,3.40%,
122,Birchcliffe-Cliffside,,31,25,47,45,22,43,34,39,17.9,62,14.70%,
123,Cliffcrest,,17,26,29,36,13,22,55,59,37.5,9,7.30%,
124,Kennedy Park,,33,29,46,60,46,63,51,59,34.5,17,15.70%,
125,Ionview,,21,11,15,9,11,24,10,14,10.7,105,40.00%,
126,Dorset Park,,32,79,60,88,66,87,69,56,23,39,-18.80%,
127,Bendale,,48,65,72,56,74,56,67,65,23.3,38,-3.00%,
128,Agincourt South-Malvern West,,59,48,36,39,45,36,34,44,20,48,29.40%,
129,Agincourt North,,53,34,33,39,33,32,31,54,17.8,63,74.20%,
130,Milliken,,55,60,54,83,31,50,23,32,11.8,103,39.10%,
131,Rouge,,35,30,64,59,38,48,50,62,13.5,90,24.00%,
132,Malvern,,89,66,114,84,110,104,121,118,26.2,30,-2.50%,
133,Centennial Scarborough,,14,18,2,14,20,14,6,9,6.9,124,50.00%,
134,Highland Creek,,8,14,21,13,13,10,24,19,14.5,81,-20.80%,
135,Morningside,,17,34,44,56,22,35,43,51,29,26,18.60%,
136,West Hill,,98,99,86,54,68,49,77,71,26.7,28,-7.80%,
137,Woburn,,62,150,96,100,87,75,84,107,20.1,47,27.40%,
138,Eglinton East,,56,56,51,53,51,32,47,66,28.9,27,40.40%,
139,Scarborough Village,,30,27,37,31,45,39,26,62,37.4,10,138.50%,
140,Guildwood,,6,21,5,21,13,9,11,14,14.3,82,27.30%,
